"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5384","Should delete customer on Customers page","sales-portal-ui","Tue May 27 19:22:49 UTC 2025","passed","Tue May 27 19:22:54 UTC 2025","[UI] [Sales Portal] [Customers]","ui/tests/SalesPortal/customers/delete-customer.spec.ts","",""
"","2009","Should see correct data on product details modal","sales-portal-ui","Tue May 27 19:24:16 UTC 2025","passed","Tue May 27 19:24:18 UTC 2025","[UI] [Integration] [Products] [Details]","ui/tests/SalesPortal/products/integration/details.spec.ts","",""
"","1992","Should display correct sorting for country field and desc direction","sales-portal-ui","Tue May 27 19:23:30 UTC 2025","failed","Tue May 27 19:23:32 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customers/integration/customers.spec.ts","",""
"","6752","Should display valid customer data","sales-portal-ui","Tue May 27 19:23:57 UTC 2025","failed","Tue May 27 19:24:04 UTC 2025","[UI] [Customers] [Details]","ui/tests/SalesPortal/customers/integration/details.spec.ts","",""
"","2136","Should display correct sorting for email field and asc direction","sales-portal-ui","Tue May 27 19:23:17 UTC 2025","failed","Tue May 27 19:23:19 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customers/integration/customers.spec.ts","",""
"","2002","Should search for existing customer by email","sales-portal-ui","Tue May 27 19:23:50 UTC 2025","failed","Tue May 27 19:23:52 UTC 2025","[UI] [Customers] [Search]","ui/tests/SalesPortal/customers/search.spec.ts","",""
"","2105","Should display correct sorting for createdOn field and asc direction","sales-portal-ui","Tue May 27 19:23:07 UTC 2025","failed","Tue May 27 19:23:10 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customers/integration/customers.spec.ts","",""
"","2047","Should check filtered by country table data","sales-portal-ui","Tue May 27 19:24:05 UTC 2025","passed","Tue May 27 19:24:07 UTC 2025","[UI] [Sales Portal] [Customers]","ui/tests/SalesPortal/customers/table.spec.ts","",""
"","2007","Should display correct sorting for name field and desc direction","sales-portal-ui","Tue May 27 19:23:20 UTC 2025","failed","Tue May 27 19:23:22 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customers/integration/customers.spec.ts","",""
"","2029","Should display correct sorting for email field and desc direction","sales-portal-ui","Tue May 27 19:23:11 UTC 2025","failed","Tue May 27 19:23:13 UTC 2025","[UI] [Customers] [Table component]","ui/tests/SalesPortal/customers/integration/customers.spec.ts","",""
"","3508","Should display valid customer data","sales-portal-ui","Tue May 27 19:22:51 UTC 2025","passed","Tue May 27 19:22:54 UTC 2025","[E2E] [UI] [Customers] [Details]","ui/tests/SalesPortal/customers/e2e/details.spec.ts","",""
